PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3
44590514,IC50,69,nM,EC50,90000,nM,Emax,15,%,,,
44590551,IC50,5.3,nM,EC50,2600,nM,Emax,18,%,IC50,19000,nM
44590551,IC50,5.3,nM,EC50,2600,nM,Emax,18,%,Activity,,
44590552,IC50,4862,nM,EC50,,,Emax,,,,,
44590553,IC50,126,nM,EC50,90000,nM,Emax,5,%,,,
44590554,IC50,443,nM,EC50,90000,nM,Emax,60,%,,,
44590580,IC50,211,nM,EC50,90000,nM,Emax,10,%,,,
44590581,IC50,151,nM,EC50,90000,nM,Emax,10,%,,,
44590582,IC50,181,nM,EC50,90000,nM,Emax,0,%,,,
44590629,IC50,100,nM,EC50,90000,nM,Emax,0,%,,,
44590630,IC50,58,nM,EC50,,,Emax,,,,,
44590631,IC50,245,nM,EC50,90000,nM,Emax,0,%,,,
44590632,IC50,351,nM,EC50,90000,nM,Emax,0,%,,,
44590677,IC50,1122,nM,EC50,90000,nM,Emax,0,%,,,
44590678,IC50,4828,nM,EC50,,,Emax,,,,,
44590679,IC50,2800,nM,,,,,,,,,
44590708,IC50,772,nM,,,,,,,,,
4058,,,,EC50,9400,nM,Emax,28,%,,,
3033053,,,,EC50,38,nM,Emax,6,%,,,
