PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0
16131448,Ki,3030,nM
24776413,Ki,10000,nM
24776412,Ki,2600,nM
24776411,Ki,10000,nM
24776410,Ki,5155,nM
24776408,Ki,6755,nM
24776409,Ki,6139,nM
24776407,Ki,5406,nM
24776405,Ki,247,nM
24776406,Ki,1582,nM
24776404,Ki,215,nM
24776403,Ki,1875,nM
24776401,Ki,1340,nM
24776402,Ki,6500,nM
24776400,Ki,3503,nM
24776398,Ki,1005,nM
24776399,Ki,7800,nM
24776397,Ki,540,nM
24776396,Ki,2075,nM
24776395,Ki,476,nM
10763594,Ki,47,nM
