PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4,Standard_Type_5,Standard_Value_5,Standard_Units_5,Standard_Type_6,Standard_Value_6,Standard_Units_6
58443217,Emax,21,%,EC50,0.6,nM,Imax,81,%,IC50,30,nM,,,,,,,Ki,0.059,nM
71454361,Emax,31,%,EC50,0.5,nM,Imax,62,%,IC50,4.5,nM,,,,,,,Ki,0.0049,nM
71454362,Emax,32,%,EC50,1.6,nM,Imax,70,%,IC50,29,nM,,,,,,,Ki,0.0071,nM
71456106,Emax,48,%,EC50,1.5,nM,Imax,67,%,IC50,64,nM,,,,,,,Ki,0.0056,nM
24873473,Emax,25,%,EC50,0.22,nM,Imax,75,%,IC50,27,nM,,,,,,,Ki,0.018,nM
58443234,Emax,29,%,EC50,0.15,nM,Imax,75,%,IC50,11,nM,,,,,,,Ki,0.0016,nM
58443192,Emax,35,%,EC50,2.3,nM,Imax,72,%,IC50,13,nM,,,,,,,Ki,0.23,nM
71450766,,,,,,,Imax,76,%,IC50,45,nM,Emax,6.6,%,,,,Ki,0.064,nM
5462471,,,,,,,,,,,,,Emax,116,%,EC50,55,nM,,,
9839245,,,,,,,,,,,,,,,,,,,Ki,0.31,nM
16006949,,,,,,,,,,,,,,,,,,,Ki,0.3,nM
71450767,,,,,,,,,,,,,,,,,,,Ki,0.18,nM
19143,,,,,,,,,,,,,,,,,,,Ki,0.16,nM
44241123,,,,,,,,,,,,,,,,,,,Ki,0.084,nM
58443225,,,,,,,,,,,,,,,,,,,Ki,0.0056,nM
71456105,,,,,,,,,,,,,,,,,,,Ki,1.8,nM
58443235,,,,,,,,,,,,,,,,,,,Ki,0.12,nM
58443218,,,,,,,,,,,,,,,,,,,Ki,0.23,nM
71459820,,,,,,,,,,,,,,,,,,,Ki,0.3,nM
71459821,,,,,,,,,,,,,,,,,,,Ki,0.021,nM
58443229,,,,,,,,,,,,,,,,,,,Ki,0.64,nM
71463280,,,,,,,,,,,,,,,,,,,Ki,0.12,nM
58443230,,,,,,,,,,,,,,,,,,,Ki,0.43,nM
