PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2
129188443,Ki,376,nM,EC50,232,nM,Activity,16.3,%
134563650,Ki,716,nM,EC50,,,,,
129188454,Ki,56.4,nM,EC50,3199,nM,Activity,37.5,%
155521553,Ki,46.2,nM,EC50,1764,nM,Activity,15.7,%
134563691,Ki,504,nM,EC50,,,,,
134563466,Ki,71.3,nM,EC50,10000,nM,Activity,9.8,%
155531153,Ki,437,nM,EC50,,,,,
134563698,Ki,227,nM,EC50,,,,,
134578456,Ki,306,nM,EC50,,,,,
134563695,Ki,453,nM,EC50,,,,,
134578518,Ki,973,nM,EC50,,,,,
134578342,Ki,269,nM,EC50,,,,,
155542684,Ki,949,nM,EC50,,,,,
134563655,Ki,2.4,nM,EC50,105,nM,Activity,11.8,%
134578506,Ki,10000,nM,EC50,,,,,
134578457,Ki,453,nM,EC50,,,,,
134563496,Ki,10000,nM,EC50,,,,,
129188459,Ki,604,nM,EC50,,,,,
134563699,Ki,382,nM,EC50,,,,,
134563500,Ki,1308,nM,EC50,,,,,
155569552,Ki,857,nM,EC50,,,,,
